,user,id,description,verified,created_at,location,favourites,retweets,entities
0,dkowsmqp,1415134229529198598,การบ้านเด็กป.2อ่ะทุกคน ให้ทายภาพนี้คืออะไร #การศึกษาไทย #การศึกษาไทยส้นตีน #ค่าเทอมที่เสียไปทําไมไม่ได้เรียน https://t.co/TYFvalWuCQ,False,2021-07-14 02:21:06,,2,3,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [43, 55]}, {'text': 'การศึกษาไทยส้นตีน', 'indices': [56, 74]}, {'text': 'ค่าเทอมที่เสียไปทําไมไม่ได้เรียน', 'indices': [75, 108]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1415134223539720192, 'id_str': '1415134223539720192', 'indices': [109, 132], 'media_url': 'http://pbs.twimg.com/media/E6ORFB-VUAAkq8L.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E6ORFB-VUAAkq8L.jpg', 'url': 'https://t.co/TYFvalWuCQ', 'display_url': 'pic.twitter.com/TYFvalWuCQ', 'expanded_url': 'https://twitter.com/dkowsmqp/status/1415134229529198598/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}}}]}"
1,Irenexxz,1415134281949663243,ครูรับฟังอะไรบ้าง?? ตอนนี้ก็ยังสั่งงานเหมือนสั่งอาหารตามสั่ง นอกเวลาสอนก็สั่ง งานใหม่ก็ต้องทำ งานเก่าก็ต้องแก้ แล้วสั่งงานเหมือนเรียนอยู่วิชาเดียวอะ แค่การบ้านวิชาเดียวก็นั่งทำเป็นชม. 2ชม. สุขภาพจิตคือไม่เหลือแล้วนะ วันเสาร์ก็ต้องเรียนอะ #นักเรียน #การศึกษาไทย https://t.co/f4FI7sCDDv,False,2021-07-14 02:21:19,,3,2,"{'hashtags': [{'text': 'นักเรียน', 'indices': [238, 247]}, {'text': 'การศึกษาไทย', 'indices': [248, 260]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1415134271673487361, 'id_str': '1415134271673487361', 'indices': [261, 284], 'media_url': 'http://pbs.twimg.com/media/E6ORH1SUUAEFv0Z.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E6ORH1SUUAEFv0Z.jpg', 'url': 'https://t.co/f4FI7sCDDv', 'display_url': 'pic.twitter.com/f4FI7sCDDv', 'expanded_url': 'https://twitter.com/Irenexxz/status/1415134281949663243/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 749, 'h': 1124, 'resize': 'fit'}, 'small': {'w': 453, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 749, 'h': 1124, 'resize': 'fit'}}}]}"
2,1001hr_,1415136950994968577,เวลาเรียนภาษาไทยเกลียดการทำแบบฝึกหัดท้ายบทที่สุดเลย ไอ้สั่งอะสั่งได้นี่ล่อให้ทำรวดเดียว3บท กูจะประสาทแดก การบ้านที่กูต้องรับผิดชอบไม่ได้มีเเค่ภาษาไทยนะคะอีสัด;-; #การศึกษาไทย,False,2021-07-14 02:31:55,,0,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [162, 174]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
3,8iCCNhrrgp3pDIg,1415142546821455874,"ฝึกงานแต่ล่ะรุ่นเป็นไงไม่รู้...แต่ฝึกงานรุ่นกูเดิมพันด้วยชีวิต😭😓
#เซฟนักศึกษาฝึกงาน
#การศึกษาฆ่าฉัน",False,2021-07-14 02:54:09,,2,0,"{'hashtags': [{'text': 'เซฟนักศึกษาฝึกงาน', 'indices': [65, 83]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [84, 99]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
4,Maamoo37470638,1415148623071911936,"เหมาะสมหรือมั้ยเป็นอาจารย์ใส่เสื้อแขนกุดสอน  
และนิสิตถามการเช็คชื่อก็โทษนิสิตว่าทำให้หลุด เป็นอาจารย์ควรมีสติในการสอนสิคะ ทำไมต้องโทษคนอื่น โทษตัวเองดีกว่ามั้ยคะ #การศึกษาไทย",False,2021-07-14 03:18:18,,0,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [163, 175]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
5,aigu_wingx27,1415148725471563776,"คำเดียวค่ะ ""เหี้ย"" #การศึกษาไทย",False,2021-07-14 03:18:43,✳︎ —เป็นได้แค่เพื่อนฮ่ะㅠㅠㅠ,5,4,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [19, 31]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
6,mOWd6jZdSxyrViz,1415150293461864451,"@f1z5KTungzY5WDH หาไม่ได้=ไม่มีคะแนน
#การศึกษาไทย #การศึกษาไทยส้นตีน #โควิด19",False,2021-07-14 03:24:56,,2,1,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [37, 49]}, {'text': 'การศึกษาไทยส้นตีน', 'indices': [50, 68]}, {'text': 'โควิด19', 'indices': [69, 77]}], 'symbols': [], 'user_mentions': [{'screen_name': 'f1z5KTungzY5WDH', 'name': '..............', 'id': 1261888178014654465, 'id_str': '1261888178014654465', 'indices': [0, 16]}], 'urls': []}"
7,PrincessMox1,1415150608269529091,รร ทราบไหมว่านักเรียนต้องส่งการบ้านดึกๆเพราะทำการบ้านที่ครูให้ จะว่าเด็กดองงานหรอ ป่าวจ้า เด็กทำการบ้านที่ครูสั่งนั่นแหละ สั่งเป็นขี้มูกเลยนะ สั่งอยู่นั่นแหละ กลัวนักเรียนไม่ฉลาดหรอ สั่งการบ้านเหมือนกลัวตายไปจะไม่ได้สั่ง #ddnfact #การศึกษาฆ่าฉัน,False,2021-07-14 03:26:11,ประเทศไทย,4,5,"{'hashtags': [{'text': 'ddnfact', 'indices': [221, 229]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [230, 245]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
8,sutham9999,1415151295837597702,"@kruchaem ครูดีคือครูทีต้องพยายามสอนเด็กให้สนุกกับการเรียน และเข้าใจเนื้อหา ขอชื่นชมครับ
แต่ยอมรับไหมครับว่า ยังมีครูที่สอนเด็กไม่รู้เรื่อง อยู่ในระบบเยอะมาก ทำไมวิจารณ์ครูเหล่านี้ไม่ได้ ให้ออกก็ไม่ได้ เด็กต้องทนเรียนกับครูแบบนี้ จนครูเกษียณ #การศึกษาไทย",False,2021-07-14 03:28:55,nakhonsithammarat,1,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [242, 254]}], 'symbols': [], 'user_mentions': [{'screen_name': 'kruchaem', 'name': 'คนอะไร ชื่อ ตัวเล็ก 😁|||', 'id': 1156570929792724993, 'id_str': '1156570929792724993', 'indices': [0, 9]}], 'urls': []}"
9,Youaremymelodyv,1415153055637512195,การศึกษาทำให้เราซึมเศร้า #การศึกษาฆ่าฉัน,False,2021-07-14 03:35:55,,1,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [25, 40]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
